date,hour,unique_users,total_activities,first_activity,last_activity
2025-09-10,0,3,504,2025-09-10 00:00:23.2370,2025-09-10 00:59:48.9813
2025-09-10,1,3,125,2025-09-10 01:00:47.9900,2025-09-10 01:53:15.2507
2025-09-10,2,2,95,2025-09-10 02:08:27.3119,2025-09-10 02:59:58.0971
2025-09-10,3,2,78,2025-09-10 03:00:04.7941,2025-09-10 03:54:45.2629
2025-09-10,4,3,73,2025-09-10 04:03:34.3560,2025-09-10 04:56:51.4483
2025-09-10,5,5,76,2025-09-10 05:01:42.0731,2025-09-10 05:56:13.4113
2025-09-10,6,23,181,2025-09-10 06:05:45.3734,2025-09-10 06:59:59.4596
2025-09-10,7,183,2303,2025-09-10 07:00:32.5605,2025-09-10 07:59:59.3085
2025-09-10,8,487,7658,2025-09-10 08:00:00.2023,2025-09-10 08:59:59.3259
2025-09-10,9,735,15449,2025-09-10 09:00:00.7209,2025-09-10 09:59:59.6868
2025-09-10,10,745,17401,2025-09-10 10:00:00.3356,2025-09-10 10:59:59.6074
2025-09-10,11,779,17646,2025-09-10 11:00:00.3462,2025-09-10 11:59:59.8454
2025-09-10,12,595,12205,2025-09-10 12:00:00.3137,2025-09-10 12:59:59.2676
2025-09-10,13,645,15645,2025-09-10 13:00:00.0110,2025-09-10 13:59:59.8239
2025-09-10,14,679,18794,2025-09-10 14:00:00.0958,2025-09-10 14:59:59.9255
2025-09-10,15,645,15984,2025-09-10 15:00:00.2504,2025-09-10 15:59:59.8239
2025-09-10,16,422,10543,2025-09-10 16:00:00.0605,2025-09-10 16:59:59.9480
2025-09-10,17,115,2345,2025-09-10 17:00:00.4610,2025-09-10 17:59:30.8930
2025-09-10,18,24,570,2025-09-10 18:01:02.1065,2025-09-10 18:59:44.9666
2025-09-10,19,33,650,2025-09-10 19:00:07.7377,2025-09-10 19:59:59.3005
2025-09-10,20,21,417,2025-09-10 20:00:00.2424,2025-09-10 20:57:54.5383
2025-09-10,21,22,329,2025-09-10 21:03:27.6232,2025-09-10 21:59:59.3681
2025-09-10,22,12,526,2025-09-10 22:00:02.1004,2025-09-10 22:59:56.9104
2025-09-10,23,5,479,2025-09-10 23:00:13.7748,2025-09-10 23:59:24.9154
2025-09-11,0,4,389,2025-09-11 00:00:25.8627,2025-09-11 00:59:07.5101
2025-09-11,1,2,462,2025-09-11 01:00:03.1198,2025-09-11 01:57:37.7506
2025-09-11,2,2,251,2025-09-11 02:07:31.6370,2025-09-11 02:58:41.6264
2025-09-11,3,2,10,2025-09-11 03:01:06.4578,2025-09-11 03:59:28.9257
2025-09-11,4,1,3,2025-09-11 04:14:38.7885,2025-09-11 04:45:03.0064
2025-09-11,5,3,6,2025-09-11 05:00:13.6546,2025-09-11 05:58:25.8235
2025-09-11,6,25,203,2025-09-11 06:01:03.3883,2025-09-11 06:59:40.6643
2025-09-11,7,191,2826,2025-09-11 07:00:12.3330,2025-09-11 07:59:59.7417
2025-09-11,8,611,10881,2025-09-11 08:00:01.5481,2025-09-11 08:59:59.4840
2025-09-11,9,831,16185,2025-09-11 09:00:00.4462,2025-09-11 09:59:59.6486
2025-09-11,10,810,18224,2025-09-11 10:00:00.7873,2025-09-11 10:59:59.9653
2025-09-11,11,880,18722,2025-09-11 11:00:00.0053,2025-09-11 11:59:59.9806
2025-09-11,12,685,14664,2025-09-11 12:00:00.2890,2025-09-11 12:59:59.4356
2025-09-11,13,829,19797,2025-09-11 13:00:00.4886,2025-09-11 13:59:59.9200
2025-09-11,14,808,18982,2025-09-11 14:00:00.2738,2025-09-11 14:59:59.9727
2025-09-11,15,765,17294,2025-09-11 15:00:00.2038,2025-09-11 15:59:59.9437
2025-09-11,16,528,10847,2025-09-11 16:00:00.0242,2025-09-11 16:59:59.5255
2025-09-11,17,155,3568,2025-09-11 17:00:00.6126,2025-09-11 17:59:42.5402
2025-09-11,18,40,690,2025-09-11 18:00:26.3979,2025-09-11 18:59:50.9798
2025-09-11,19,28,1017,2025-09-11 19:00:14.9978,2025-09-11 19:59:59.0867
2025-09-11,20,36,916,2025-09-11 20:00:11.6198,2025-09-11 20:59:25.0859
2025-09-11,21,22,360,2025-09-11 21:00:46.8317,2025-09-11 21:56:26.8820
2025-09-11,22,9,98,2025-09-11 22:01:46.6752,2025-09-11 22:55:22.7979
2025-09-11,23,4,71,2025-09-11 23:02:40.1433,2025-09-11 23:50:49.5720
2025-09-12,0,3,18,2025-09-12 00:03:25.2940,2025-09-12 00:59:59.9261
2025-09-12,1,4,401,2025-09-12 01:00:02.1698,2025-09-12 01:55:09.3867
2025-09-12,2,1,4,2025-09-12 02:06:06.9810,2025-09-12 02:51:58.1498
2025-09-12,3,1,4,2025-09-12 03:07:21.4396,2025-09-12 03:53:30.2343
2025-09-12,4,2,5,2025-09-12 04:08:36.4922,2025-09-12 04:54:08.8409
2025-09-12,5,5,53,2025-09-12 05:09:35.3520,2025-09-12 05:55:26.6180
2025-09-12,6,23,292,2025-09-12 06:02:36.1129,2025-09-12 06:58:56.0758
